,latitude,longitude,name
176037,30.28871,-97.72513,Trendy 2 bed apartment in a vibrant community
186614,47.62688,-122.3237,Modern Capitol Hill Studio Steps to Volunteer Park
136349,32.92696,-117.1017,Wildflower
54876,34.13196,-118.34576,Universal Studios Home in the Hollywood Hills
90020,40.68054,-73.88688,Amazing Sunrise View 2/1 Apartment Private Parking
12414,38.92837,-76.96794,Bright 2BR/1BA apt w/laundry & easy street parking
138171,32.74436,-117.1222,Boho-Chic North Park Oasis w/ Hot Tub & Fire Pit
65675,34.04197,-118.57273,Regal Malibu Surf Beach Studio for 5+ ocean view
128873,32.84157,-117.27502,NEW! Chic La Jolla Condo: Walk to Beach & Village!
178575,45.553,-122.66629,Quiet Private Studio in Inner NE near Bus & Bike
2243,37.77596,-122.50838,Sublime Ocean Views
73833,40.74176,-73.97819,Brand New Luxurious 1 BR - Outdoor Space
6440,37.75101,-122.41387,Sunny Victorian Artist's home
188143,47.596809578252575,-122.29075860232116,Sunrise on Lake Washington
176765,30.2861,-97.75192,Warm Suburban 3BR Townhome near DT
38681,34.16867,-118.36041,"Cozy 1 bd/1 bath RV w/custom work station, LA"
194084,45.360262,-92.892826,Entire Lake Home on Green Lake with Hot Tub
64609,34.114241776663505,-118.1694487873324,Large 1 Bed 1 Bath Pasadena Condo
108462,40.74003732306674,-73.97895426312797,The Ideal VII
56656,34.4172,-118.51711,Private & Gorgeous 1 + 1 Condo!
123755,41.49654,-71.27718,Wolcott House
30688,34.06303,-118.16256,DTLA Luxury Studio w/ city view
128570,32.73361,-117.0994,"#2, Studio with private entrance/kitchen/bathroom"
35163,34.08834,-118.36624,Stylish Spanish Gem in the Heart of Weho
83573,40.66555,-73.94707,"Spacious, Light-Filled, Private Bklyn 2-Bedroom"
191135,45.18461,-93.21982,Tranquil Blaine Home in Upscale Neighborhood
62111,34.27538,-118.44245,"A Huge Private Sunny, Relaxing & Calm w/ Pool/Spa"
193505,44.95249,-93.18234,Comfy 2bdrm Queen BD/ free parking/ off freeway
4251,37.78587,-122.41049,Bright/Corner Downtown Studio
123022,41.7276,-71.28333,Cozy Boho Apt in Historic Waterfront Village
61312,34.04833,-118.24992,Cityscape Luxury W Stunning Panoramic View in DTLA
175794,30.30687,-97.72723,1 bedroom Townhouse in Hyde Park Historic District
107662,40.76546227513481,-73.98089620651642,"Midtown Gem! 3 Great Units, Steps to Carnegie Hall"
206800,26.022215,-80.137474,Stunning 3 BDR Beach House + Private Yard in Miami
219847,36.1968467,-115.2161259,Beautiful comfortable home+ FREE WIFI
595,37.78525,-122.46641,"AMAZING, CHIC & STYLISH SF HOME"
141874,36.18195,-86.72377,Convenient Home in The Heart of East Nashville
222053,36.1444,-115.32249,Strip view hot tub BBQ close th the strip
55240,34.10416,-118.34141,Cozy 1-Bed Apartment w/Patio Steps from HWLD BLVD
30451,34.17693,-118.56331,Modern 2 +2  Guest Villa - Prime Location - NEW
7715,38.93176,-77.03966,Chic and Modern 2 Bedroom
18660,29.92024,-90.1139,Big Beautiful Uptown NOLA Treasure
148273,36.1262237,-86.72565399999999,Industrial Flare Studio
196060,26.10025,-80.14606,Special Events~4- 2 Bdrm Units by Port~ Sleeps 18!
80617,40.77156,-73.95157,1 bedroom apartment in Upper east side Manhattan
31149,34.04261,-118.62474,Cool Oak Way
35216,34.1620609,-118.3084665,1-bedroom rental unit in Burbank Rancho
20613,29.95484,-90.01824,Chateau Eloise - Historic Holy Cross District
29660,34.07267,-118.39335,Beautiful Weho Villa + BackHouse [Has Parking]
49389,33.75852,-118.13894,Luxury Modern Beach Retreat-block to beach/dining!
125573,41.832367,-71.409737,Benefit Street home minutes from Brown and RISD
