,latitude,longitude,name
194287,26.04556,-80.20902,Plaza Hotel Fort Lauderdale
84988,40.75263,-73.97821,Dylan Hotel NYC - Luxury Double Room
226608,42.34503,-71.08085,Inn @ St. Botolph
158289,41.8923,-87.627335,Female Only - 1 Bed in a Shared Bedroom
212650,36.10541,-115.16573,"888 # 21, MGM Signature Two (2) Bedroom Suites !"
212960,36.10601425170898,-115.16677856445312,"888 # 3, MGM Signature Two (2) Bedroom Suites !"
83730,40.7244,-74.00794,Courtyard Queen ADA
35644,33.76829,-118.18503,Greenleaf Hotel (Regular Room)
200817,26.19647,-80.0947,30% OFF INCLUDE IN THE RATE APARTMENT IN THE BEACH
213315,36.10601425170898,-115.16677856445312,"888 # 56, MGM Signature One (1) Bedroom Suites !"
81954,40.76214,-73.97634,Studio Suite | Luxury Suite | Near Central Park
123203,41.778107,-71.401604,Historic Edgewood Manor Inn
212624,36.10601425170898,-115.16677856445312,"888 # 14, MGM Signature One (1) Bedroom Suites !"
213034,36.10641,-115.16629,"888 # 48, MGM Signature Deluxe Suite."
197865,26.16006,-80.11839,The Cabanas Guesthouse & Spa
88024,40.74097,-73.98339,The Lex Hotel NYC
85701,40.74949,-73.97842,"Shelburne Hotel & Suites, Studio Apartment 2 Beds"
211596,36.10753,-115.16631,"888 # 5, MGM Signature Two (2) Bedroom Suites !"
38269,33.76752,-118.18407,Greenleaf Hotel
212913,36.10639,-115.16568,"888 # 29, MGM Signature Deluxe Suite."
212594,36.10672,-115.16699,"888 # 23, MGM Signature Two (2) Bedroom Suites !"
213096,36.10545,-115.16558,"888 # 50, MGM Signature Two (2) Bedroom Suites !"
40035,33.76654,-118.18451,Greenleaf Hotel (Regular Room)
213103,36.10532,-115.16612,"888 # 45, MGM Signature Two (2) Bedroom Suites !"
213219,36.10502,-115.16778,"888 # 59, MGM Signature Two (2) Bedroom Suites !"
122899,39.96098,-82.99403,The CrayINN on Town St 105
226092,42.35006,-71.07858,"A Boutique Hotel Room in Copley, Charlesmark Hotel"
212710,36.10571,-115.16706,"888 # 14, MGM Signature Deluxe Suite."
20722,29.94758,-90.03272,Federal City Inn & Suites
212093,36.10857,-115.16527,"888 # 22, MGM Signature Deluxe Suite."
213032,36.10521,-115.16748,"888 # 47, MGM Signature Deluxe Suite."
4599,37.789249581659625,-122.40449815237488,Hotel Triton San Francisco
143150,36.17338,-86.75698,The Russell (Room 1:1) Heart of East Nash!
36410,34.1444,-118.41575,"Studio City Court Yard, Deluxe King Suite"
84322,40.75331,-73.93501,"Nesva Hotel, King Premium Balcony"
178416,36.61867,-121.91911,WALK TO OCEAN from our Premium KING BED ROOMS
212097,36.10679,-115.16686,"888 # 25, MGM Signature Deluxe Suite."
18504,29.95646,-90.07032,c 3rd/4th fl Studio
212930,36.10669,-115.16566,"888 # 30, MGM Signature Deluxe Suite."
60649,34.04775,-118.30482,Friendshouse
158215,41.8923,-87.627335,Hotel Perks - Private Bedroom | Private Bathroom
212912,36.1052,-115.16646,"888 # 28, MGM Signature Deluxe Suite."
