,latitude,longitude,name
166642,30.26266,-97.73319,Eclectic East Side Spot Close to Downtown
198767,26.04928,-80.13891,2 bedrooms in my 3 bedroom house with a pool
72994,40.68741,-73.95215,Creative Bed-Stuy Brownstone
78841,40.71423,-73.94652,Huge private room in Williamsburg
71343,40.71406,-73.98261,Beautiful Bedroom Manhattan (LES)
164642,30.2748,-97.74722,Downtown Oasis: Suite-Historic Home
200221,26.22804,-80.20983,My house
126699,41.83832611775955,-71.40662837773561,"Renovated room near Whole Foods, Brown, Downtown ."
79999,40.86436,-73.92236,Large Manhattan Suite
50067,33.99614,-118.46675,Bright Venice bch apt- Abbot Kinney
48812,33.9078407690226,-118.32007123839678,Spacious Executive Family Suite!
17056,40.70962,-74.09446,Cosy room with private patio
120734,40.102318,-82.979515,Sweet little room/calm neighborhood
95900,40.73125,-73.95641,Charming NEW ROOM in Greenpoint
99943,40.74139,-73.8978,Renovated Bathroom and Floor + No kitchen
227384,42.35087,-71.08365,Sonder No. 284 Back Bay | Queen Room
107333,40.75356107034668,-73.93659424772933,"New room,13 mins to Manhattan private bathroom#455"
192251,44.96192,-93.12783,Second floor Queen Bedroom
48145,34.10374178483301,-118.34524408666576,"Modern, hotel-like suite in a 4 bedroom apt"
204367,26.12581,-80.19815,Charming Guest Suite ft. Attractive Pool & Patio
22887,30.02127,-90.00179,BEE HOME
122420,39.9533,-82.9966,The Berliner at Schwartz Castle | 1BR
60709,34.16241079102903,-118.45484893085192,Presidential Suite In A Mansion
169420,30.28407,-97.7469,"Hotel Ella, Ella’s Parlor Suite"
81583,40.76678,-73.91058,"Small Cozy Room in Astoria, Queens"
204334,26.28025,-80.13552,"O melhor lugar, sinta-se na sua casa."
89705,40.70657,-74.00426,Beautiful King Bed Hotel Room
169733,30.20887,-97.8579,Romy's Place - Bedrooms available!
29714,34.16229055003611,-118.45646324327411,Presidential Suite In Mansion
89877,40.76539,-73.99498,"Stylish, Comfortable Times Square Private Stay"
16024,40.72948,-74.03242,"Furnished Master bedroom in Newport, Jersey City"
24844,33.86042,-118.05303,Knott's Berry Farm|Disneyland
96112,40.76115,-73.90905,Private Room New York City
11665,38.91482,-77.04156,Unfurnished Full room in Dupont Circle
84541,40.63674,-73.97494,SUMMER RENTAL IN SUNNY SPACIOUS ROOM
66919,40.67634,-73.95143,cozy bedroom in lovely garden apt
32604,34.008,-118.45153,Two cozy & lovely rooms plus-shared home in Venice
78085,40.70458,-73.92053,Bushwick Room
90774,40.77218,-73.90753,Private room in the heart of Astoria (off Ditmars)
109744,42.39671,-71.13664,Room w/private bath+fridge+microwave-fast wifi
79793,40.67164409999999,-73.7791357,JFK Queens Home Away From Home House Of Suedajoy 2
91951,40.69042,-73.91798,"Bushwick HDTV room, 22 min to Manhattan 2FL #104"
