,latitude,longitude,name
30369,34.19993,-118.55056,You need a place to crush ... welcome !!!
96267,40.69036,-73.91044,Fully Furnished Male Shared Rental | Coliving
73376,40.60509,-73.9691,Vernazza Rm.  Superfast Wi-Fi
46646,34.04626,-118.32682,MY STAY LA 101A Men`s Dormitory
56499,33.95580375890335,-118.4208658088343,Shared RV in Playa Del Rey
82050,40.77752,-73.95336,Central park cheap sofa bed
89546,40.69501,-73.94388,NYC Airbnb 4.
229944,37.67109,-122.43388,a4.2 Best Deal For Your Money
180318,45.52634,-122.68856,Stay in a Dorm Bed (Female) @ NW Portland Hostel
162758,41.9265729,-87.6513112,DePaul Dormroom Housing Shared Room
58903,34.05879879200945,-118.3882415844907,Zen Home in Bunk Bed Room
111542,37.34266,-121.93512,#S12 -Cozy Shared Space w/ Screen Divider
143103,36.16217,-86.5906,"Daybed in the Playroom-MorningStar 
semi-private"
80687,40.75165,-73.98461,Luxury Living Room w/ Amazing View by Time Square
55229,34.05141,-118.37022,Shared Community Room in Large House
138846,32.78671607227231,-117.17327894412529,Budget Housing for students - shared bedroom!
135800,32.78093,-117.20114,H
21482,29.95792,-90.13035,Two Monthly Loft Bed Rentals/No Cleaning Fee
166869,30.31655,-97.71654,Evans: Shared Room in Great Community
62813,33.95559,-118.41539,Shared motorhome
40359,34.1249,-118.01142,Comfortable bedroom with shared bathroom
71172,40.7291,-73.97605,Couch or space in shared apartment
115231,37.38923413132004,-122.01275974673156,Silicon Valley Startup Home （B2)
52141,33.99951,-118.28329,Downtown L.A. / USC 3: Extended Hostel Fig House
116422,37.32507,-121.87723,#J2-Comfy shared space w/screen divider/workspace
38935,34.64815,-118.23389,$1200 month. $400 deposit return See manual.
42845,34.05255,-118.27901,$20 DTLA Shared Living - Great Amenities
151859,39.75305,-104.9907,Stylish Shared Room in Heart of Downtown Denver
36562,34.04578,-118.44771,Nice place to stay in West LA/Santa Monica
169044,30.3907,-97.64748,New Modern Apartment
95767,40.8039,-73.96611,Shared room by columbia university
52082,34.04742,-118.20034,Standard of the Lord Hostel- Female Only Room (B)
98161,40.80837,-73.9319,Mott Haven Dorm BB
222802,36.1355,-115.11197,Las Vegas. Simple bed. Discount
86068,40.68187,-73.94485,Well-Designed Male Shared Room| Ensuite bathroom
46816,34.16789,-118.3149,Burbank 3 Monthly Oasis Housing
53626,34.18435,-118.32625,Big Comfy Couch in Burbank
3237,37.78856,-122.41952,"Music City Hotel, Single Bed in 6-Bed Male Dorm Rm"
84418,40.71403,-73.8184,Marie's Cottage
195384,26.01936,-80.2206,AB2) Your rest between flights (shared room).
30523,34.15999,-118.15933,Orange Tree Room
102935,40.72134,-73.98543,Bedroom with 1 single bed in a Shared Apartment
77987,40.74981,-73.97686,Twin Bed in Sharing of Room near Grand Central
154457,39.72564,-104.98327,Cozy Couch in heart of Denver
3323,37.77073,-122.4449,Red Victorian - Moon Bunk in shared Friends Room
52101,34.00998,-118.23467,#4 USC/Expo Park Shared Room Bottom Bunk
198677,26.02784,-80.15558,Cozy Modern Studio!
46559,34.06738,-118.45183,AUGUST Sublet / 5min from UCLA
55609,34.01312,-118.23828,#C10 Downtown LA Shared Room Bottom Bunk
94917,40.68825,-73.91903,Affordable Contemporary Female Twin Room|Brooklyn
111615,37.38663,-122.02461,HackerHome - Sunnyvale Plug & Play4
3530,37.78593,-122.41664,Co-living @ PodShare San Francisco! Twin Pod 3/7
61104,34.16081,-118.43297,Affordable Bunk Room + Airport Pick Up #2
64065,34.060995522229675,-118.3887286167256,Zen Home in Bunk Bed Room
34609,34.06056,-118.33513,"#F1-3 DTLA Hostel Full Bed, TV Locker, & More."
84620,40.70357,-74.00971,Comfortable place in downtown NYC
116989,37.36431,-121.98476,#S5- Share space w/screen divider in Santa Clara
82641,40.70852,-73.96694,Sunny Shared Vintage Loft
25748,34.10826,-118.19353,Highland Park 3: Quiet Hostel: Artist & Students
89776,40.76592,-73.99291,Affordable share in Midtown West area
229925,37.66992,-122.43871,a4.6 Find Your New Home
99635,40.76483,-73.97867,Heart of Manhattan NYC Luxury View Comfy Couch
58835,34.04912,-118.30535,ONLY FOR GIRLS ROOM IN KOREATOWN!
116920,37.29905,-121.97117,Work from Home: Clean + Vaccinated + Food provided
156467,42.0075,-87.66893,1 of 2 beds-2nd furnished bedroom-
103922,40.68976,-73.95975,"Crash Pad , Next Door To Subway/Pratt"
60144,33.90817,-118.32913,castle
184194,47.66325,-122.35215,वागत Shreya Ghoshal/Berry White (Close to Amazon)
28860,34.03925,-118.4211,!Shared Home-Stay Home Workers
96233,40.69042,-73.90974,Shared Male Twin-size Bed Rental|Coliving Brooklyn
50781,34.01387,-118.2383,#C12 Downtown LA Shared Room Bottom Bunk
106314,40.7384,-73.92987,Nice area and quiet.
31053,33.93621,-118.23199,Creative Co-living Room 4 Bed 1
178239,30.31805982062298,-97.7303158147529,Stargaze Camping on Penthouse Patio
63770,33.86342,-118.34805,Kanmore Guest House
108348,40.72469,-73.98953,Lower East Side Shared bedroom - Female only
114381,37.32746,-121.87912,#85-Modern Cozy Shared BR by Divider w/ Work Desk
100227,40.68703,-73.91852,Shared Female Room| ONE TIME OFFER
111569,37.3951,-122.07919,HackerHome - Downtown Mountain View: shared room
76219,40.63672,-74.026,Shared Room in Brooklyn
